ì˙ït,çÄñ⁄1,çÄñ⁄2,çÄñ⁄3
2018/1/1,TEXTA,TEXTB,TEXTC
2018/1/2,TEXTB,TEXTC,TEXTA
2018/1/3,TEXTC,TEXTA,TEXTB
2018/1/4,TEXTA,TEXTB,TEXTC
2018/1/5,TEXTB,TEXTC,TEXTA
2018/1/6,TEXTC,TEXTA,TEXTB
2018/1/7,TEXTA,TEXTB,TEXTC
2018/1/8,TEXTB,TEXTC,TEXTA
2018/1/9,TEXTC,TEXTA,TEXTB
2018/1/10,TEXTA,TEXTB,TEXTC
2018/1/11,TEXTB,TEXTC,TEXTA
2018/1/12,TEXTC,TEXTA,TEXTB
2018/1/13,TEXTA,TEXTB,TEXTC
2018/1/14,TEXTB,TEXTC,TEXTA
2018/1/15,TEXTC,TEXTA,TEXTB
2018/1/16,TEXTA,TEXTB,TEXTC
2018/1/17,TEXTB,TEXTC,TEXTA
2018/1/18,TEXTC,TEXTA,TEXTB
2018/1/19,TEXTA,TEXTB,TEXTC
2018/1/20,TEXTB,TEXTC,TEXTA
2018/1/21,TEXTC,TEXTA,TEXTB
2018/1/22,TEXTA,TEXTB,TEXTC
2018/1/23,TEXTB,TEXTC,TEXTA
2018/1/24,TEXTC,TEXTA,TEXTB
2018/1/25,TEXTA,TEXTB,TEXTC
2018/1/26,TEXTB,TEXTC,TEXTA
2018/1/27,TEXTC,TEXTA,TEXTB
2018/1/28,TEXTA,TEXTB,TEXTC
2018/1/29,TEXTB,TEXTC,TEXTA
2018/1/30,TEXTC,TEXTA,TEXTB
2018/1/31,TEXTA,TEXTB,TEXTC
